,Film_title,Director,Average_rating,Genres,Runtime,Original_language,Description,Studios,Watches,List_appearances,Likes,Fans,Lowest★,Medium★★★,Highest★★★★★,Total_ratings
347,Die Hard 2,Renny Harlin,3.33,"['Thriller', 'Action']",124.0,English,"One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead.","['Gordon Company', 'Silver Pictures', '20th Century Fox']",350738,42134,54465,160,1534,60631,7807,196366
348,Election,Alexander Payne,3.8,"['Drama', 'Comedy', 'Mystery', 'Romance']",103.0,English,"Tracy Flick is running unopposed for this year’s high school student election. But Jim McAllister has a different plan. Partly to establish a more democratic election, and partly to satisfy some deep personal anger toward Tracy, Jim talks football player Paul Metzler to run for president as well.","['Paramount Pictures', 'MTV Films', 'Bona Fide Productions']",251379,59961,67338,1100,1129,23440,14642,164646
349,Kung Fury,David Sandberg,3.59,"['Science Fiction', 'Comedy', 'Fantasy', 'Action']",32.0,English,"During an unfortunate series of events, a friend of Kung Fury is assassinated by the most dangerous kung fu master criminal of all time, Adolf Hitler, a.k.a Kung Führer. Kung Fury decides to travel back in time to Nazi Germany in order to kill Hitler and end the Nazi empire once and for all.","['Laser Unicorns', 'Lampray']",117223,9756,26831,283,1671,13104,9223,68763
350,A Clockwork Orange,Stanley Kubrick,4.11,"['Science Fiction', 'Crime']",137.0,English,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?","['Warner Bros. Pictures', 'Hawk Films', 'Stanley Kubrick Productions', 'Polaris Productions Limited']",1677487,295650,548712,39000,11930,96971,314524,1079482
351,Finding Dory,Andrew Stanton,3.26,"['Adventure', 'Comedy', 'Animation', 'Family']",97.0,English,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,"['Pixar', 'Walt Disney Pictures']",1680986,120694,237621,450,12683,233489,60011,799503
352,District 9,Neill Blomkamp,3.81,['Science Fiction'],112.0,English,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.","['TriStar Pictures', 'Block / Hanson', 'WingNut Films', 'District 9']",727342,82658,172018,2600,3689,61301,42061,426082
353,Do the Right Thing,Spike Lee,4.4,['Drama'],120.0,English,"Salvatore ""Sal"" Fragione is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out, becomes upset when he sees that the pizzeria's Wall of Fame exhibits only Italian actors. Buggin' Out believes a pizzeria in a black neighborhood should showcase black actors, but Sal disagrees. The wall becomes a symbol of racism and hate to Buggin' Out and to other people in the neighborhood, and tensions rise.","['Universal Pictures', '40 Acres and a Mule Filmworks']",553051,180903,209871,11000,938,20008,141607,390091
354,Buffy the Vampire Slayer,Fran Rubel Kuzui,2.8,"['Action', 'Comedy', 'Horror']",86.0,English,"Blonde, bouncy Buffy is your typical high school cheerleader. But all that changes when a strange man informs her she's been chosen by fate to kill vampires.","['Kuzui Enterprises', '20th Century Fox', 'Sandollar Productions']",109293,28492,18585,195,2155,16943,3061,59960
355,Race for the Yankee Zephyr,David Hemmings,3.13,"['Action', 'Adventure']",108.0,English,"In a lake high in the mountains of New Zealand hunter Gibbie Gibson discovers a plane wreck from WW2. When he tells it around, a gang of crooks follows and threatens him and his daughter, because they know there are 50 million dollars in the wreck. Helicopter pilot Barney helps Gibbie against them, risking his life thereby.","['Hemdale', 'Enterprise Films', 'Pact Productions']",572,768,84,0,6,119,6,397
356,The Hunger Games: Mockingjay – Part 2,Francis Lawrence,3.38,"['Adventure', 'Action', 'Science Fiction']",137.0,English,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.","['Lionsgate', 'Color Force', 'Studio Babelsberg']",1822800,108939,336628,2000,17025,232905,143568,992664
357,Day of the Dead,George A. Romero,3.77,"['Mystery', 'Horror', 'Drama']",101.0,English,A small group of scientists and soldiers take refuge in an underground missile silo where they struggle to control the flesh-eating dead that walks the Earth above.,"['Laurel Entertainment', 'United Film Distribution Company (UFDC)']",131527,53370,38957,691,424,13906,11072,87029
358,Timeline,Richard Donner,2.62,"['Science Fiction', 'Adventure', 'Action']",116.0,English,A group of archaeological students become trapped in the past when they go there to retrieve their professor. The group must survive in 14th century France long enough to be rescued.,"['Paramount Pictures', 'Mutual Film Company', ""The Donners' Company"", 'Cobalt Media Group', 'Artists Production Group']",29665,5291,2833,29,1038,3900,329,16560
359,Batman,Leslie H. Martinson,3.32,"['Comedy', 'Crime', 'Action']",105.0,English,The Dynamic Duo faces four super-villains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,"['William Dozier Productions', '20th Century Fox', 'Greenlawn Productions']",101030,37207,25571,278,921,17483,5124,61354
360,The Italian Job,Peter Collinson,3.53,"['Comedy', 'Crime', 'Action', 'Thriller']",99.0,English,"Charlie's got a 'job' to do. Having just left prison he finds one of his friends has attempted a high-risk job in Torino, Italy, right under the nose of the mafia. Charlie's friend doesn't get very far, so Charlie takes over the 'job'. Using three Mini Coopers, a couple of Jaguars, and a bus, he hopes to bring Torino to a standstill, steal a fortune in gold and escape in the chaos.","['Paramount Pictures', 'Oakhurst Productions']",67228,16681,14022,546,284,9191,3150,43080
361,The Muppets Take Manhattan,Frank Oz,3.56,"['Family', 'Romance', 'Comedy']",94.0,English,"When the Muppets graduate from Danhurst College, they take their song-filled senior revue to New York City, only to learn that it isn't easy to find a producer who's willing to back a show starring a frog and a pig. Of course, Kermit the Frog and Miss Piggy won't take no for an answer, launching a search for someone to take them to Broadway.","['The Jim Henson Company', 'Delphi II Productions', 'TriStar Pictures']",72948,17022,16565,432,198,9048,4234,37552
362,Friday the 13th: The Final Chapter,Joseph Zito,3.11,"['Horror', 'Thriller']",91.0,English,"After his revival in a hospital morgue, Jason fixes his vengeful attention on the Jarvis family and a group of hitherto carefree teenagers.","['Friday Four, Inc.', 'Georgetown Productions Inc.', 'Paramount Pictures', 'Sean S. Cunningham Films']",175457,66482,39234,503,2430,32213,6512,115053
363,Princess Mononoke,Hayao Miyazaki,4.38,"['Adventure', 'Fantasy', 'Animation']",134.0,Japanese,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.","['Studio Ghibli', 'Nibariki', 'dentsu Music and Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'dentsu']",1664452,288872,679559,57000,1774,61834,451809,1121575
364,The Firm,Nick Love,2.9,['Drama'],90.0,English,"Set in the 1980s, Dom is a teenager who finds himself drawn into the charismatic world of football 'casuals,influenced by the firm's top boy, Bex. Accepted by the gang for his fast mouth and sense of humor, Dom soon becomes one the boys. But as Bex and his gang clash with rival firms across the country and the violence spirals out of control, Dom realizes he wants out - until he learns it's not that easy to simply walk away.","['Vertigo Films', 'Warner Bros. Pictures', 'Protagonist Pictures']",3656,832,459,12,87,776,87,2562
365,Little Shop of Horrors,Frank Oz,3.86,"['Horror', 'Comedy']",94.0,English,"Seymour Krelborn is a nerdy orphan working at Mushnik's; a flower shop in urban Skid Row. He harbors a crush on fellow co-worker, Audrey Fulquard, and is berated by Mr. Mushnik daily. One day, Seymour finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.","['Geffen Pictures', 'Warner Bros. Pictures']",340202,89425,108427,5100,1086,27716,38036,202552
366,Cross of Iron,Sam Peckinpah,3.77,"['Action', 'History', 'War', 'Drama']",132.0,English,"It is 1943, and the German army—ravaged and demoralised—is hastily retreating from the Russian front. In the midst of the madness, conflict brews between the aristocratic yet ultimately pusillanimous Captain Stransky and the courageous Corporal Steiner. Stransky is the only man who believes that the Third Reich is still vastly superior to the Russian army. However, within his pompous persona lies a quivering coward who longs for the Iron Cross so that he can return to Berlin a hero. Steiner, on the other hand is cynical, defiantly non-conformist and more concerned with the safety of his own men rather than the horde of military decorations offered to him by his superiors.","['Rapid Film', 'EMI Films', 'Terra-Filmkunst', 'Alex Winitsky / Arlene Sellers Productions']",20584,9775,4970,62,72,2242,1168,14756
367,The Three Musketeers,Paul W. S. Anderson,2.47,"['Action', 'Adventure', 'Thriller']",110.0,English,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,"['Summit Entertainment', 'Constantin Film', 'Impact Pictures', 'Nouvelles Éditions de Films (NEF)', 'New Legacy Film', 'Studio Babelsberg']",96239,8730,7289,50,3996,10219,1065,46802
368,Triple 9,John Hillcoat,2.84,"['Thriller', 'Crime', 'Action', 'Adventure']",115.0,English,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,"['Surefire Capital', 'Worldview Entertainment', 'Sierra Pictures', 'Anonymous Content', 'MadRiver Pictures']",51933,8421,5415,12,942,11673,378,36021
369,O.J.: Made in America,Ezra Edelman,4.47,"['Documentary', 'Crime', 'History']",467.0,English,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.","['Laylow Films', 'ESPN Films']",71556,18981,19398,91,69,1892,16480,43792
370,The Exorcist,William Friedkin,3.97,['Horror'],122.0,English,"When a charming 12-year-old girl takes on the characteristics and voices of others, doctors say there is nothing they can do. As people begin to die, the girl's mother realizes her daughter has been possessed by the Devil. Her daughter's only possible hope lies with two priests and the ancient rite of demonic exorcism.","['Hoya Productions', 'Warner Bros. Pictures']",1224624,252637,329577,11000,5926,93564,176610,752835
